Course Title,Survey Score,Q1 - To what extent is the following statement true:  I would recommend others to attend [Course Title],"Q5 - To what extent is the following statement true:  I am satisfied with the services offered by [Training Provider Name] (e.g., efficiency in handling registration matters, responsiveness in addressing learner queries etc.).",Q6 - To what extent is the following statement true:  The course content covered the knowledge/skills as outlined in the course synopsis.,Q7 - To what extent is the following statement true:  The course content is relevant to my work.,"Q8 - To what extent is the following statement true:  The course materials supported my learning (e.g., notes, references, presentation slides, etc.).","Q9 - To what extent is the following statement true:  The teaching methods used were innovative (e.g., teaching strategies and activities, technological tools, etc.).",Q10 - The teaching methods used were effective in helping me learn and acquire skills.,Q11_1 - To what extent is the following statement true about your instructor(s):  The instructor(s) demonstrated subject matter expertise (Trainer 1),Q12_1 - To what extent is the following statement true about your instructor(s):  The instructor(s) was/were engaging in the delivery of the course (Trainer 1),Q13 - To what extent is the following statement true:  The course duration was just right.,Q15 - To what extent is the following statement true:  The course met my learning needs.,Q16 - To what extent is the following statement true:  The course provided good value-for-money.,Q17 - Are the following statements true to you (select all that apply)?:,Q25 - To what extent is the following statement true:  The course will help me progress in my work / career.,Q26 - To what extent is the following statement true:  The skills and knowledge acquired in the course will lead to improvements in my performance at work.
Scenario-Based Learning in Action: Designing Workplace-Relevant Experiences,5,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Very Large Extent,To a Very Large Extent
Scenario-Based Learning in Action: Designing Workplace-Relevant Experiences,5,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,"If this course was not subsidised, I am still willing to attend and pay the full course fee.",To a Very Large Extent,To a Very Large Extent
Design for Impact with Technology: Strategic Use of Essential Frameworks,4,To a Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Very Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Very Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Large Extent,To a Large Extent
Design for Impact with Technology: Strategic Use of Essential Frameworks,4,To a Large Extent,To a Very Large Extent,To a Large Extent,To Some Extent,To Some Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,"N/A, the course was sponsored by my employer",,To a Large Extent,To Some Extent
Design for Impact with Technology: Strategic Use of Essential Frameworks,5,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Very Large Extent,To a Very Large Extent
Design for Impact with Technology: Strategic Use of Essential Frameworks,5,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Very Large Extent,To a Very Large Extent
The Coaching Edge: Key Coaching Strategies for Management Success,5,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,"If this course was not subsidised, I am still willing to attend and pay the full course fee.",To a Very Large Extent,To a Very Large Extent
The Coaching Edge: Key Coaching Strategies for Management Success,5,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,"If this course was not subsidised, I am still willing to attend and pay the full course fee.",To a Very Large Extent,To a Very Large Extent
The Coaching Edge: Key Coaching Strategies for Management Success,5,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Very Large Extent,To a Large Extent
The Coaching Edge: Key Coaching Strategies for Management Success,5,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To Some Extent,To a Very Large Extent,To a Large Extent,"If this course was not subsidised, I am still willing to attend and pay the full course fee.",To a Very Large Extent,To a Very Large Extent
