Course Title,Survey Score,Q1 - To what extent is the following statement true:  I would recommend others to attend [Course Title],Q2 - [Optional] That's great! What was the main reason you feel this way?,Q3 - [Optional] We're sorry to hear that. What was the main reason you feel this way?,Q4 - [Optional] What was the main reason you feel this way?,"Q5 - To what extent is the following statement true:  I am satisfied with the services offered by [Training Provider Name] (e.g., efficiency in handling registration matters, responsiveness in addressing learner queries etc.).",Q6 - To what extent is the following statement true:  The course content covered the knowledge/skills as outlined in the course synopsis.,Q7 - To what extent is the following statement true:  The course content is relevant to my work.,"Q8 - To what extent is the following statement true:  The course materials supported my learning (e.g., notes, references, presentation slides, etc.).","Q9 - To what extent is the following statement true:  The teaching methods used were innovative (e.g., teaching strategies and activities, technological tools, etc.).",Q10 - The teaching methods used were effective in helping me learn and acquire skills.,Q11_1 - To what extent is the following statement true about your instructor(s):  The instructor(s) demonstrated subject matter expertise (Trainer 1),Q11_2 - To what extent is the following statement true about your instructor(s):  The instructor(s) demonstrated subject matter expertise (Trainer 2),Q11_3 - To what extent is the following statement true about your instructor(s):  The instructor(s) demonstrated subject matter expertise (Trainer 3),Q12_1 - To what extent is the following statement true about your instructor(s):  The instructor(s) was/were engaging in the delivery of the course (Trainer 1),Q12_2 - To what extent is the following statement true about your instructor(s):  The instructor(s) was/were engaging in the delivery of the course (Trainer 2),Q12_3 - To what extent is the following statement true about your instructor(s):  The instructor(s) was/were engaging in the delivery of the course (Trainer 3),Q13 - To what extent is the following statement true:  The course duration was just right.,Q14 - I found the course duration ________.,Q15 - To what extent is the following statement true:  The course met my learning needs.,Q16 - To what extent is the following statement true:  The course provided good value-for-money.,Q17 - Are the following statements true to you (select all that apply)?:,Q25 - To what extent is the following statement true:  The course will help me progress in my work / career.,Q26 - To what extent is the following statement true:  The skills and knowledge acquired in the course will lead to improvements in my performance at work.,Q27 - [Optional] What is one thing we can do to improve future classes?,Trainer Name 1,Trainer Name 2,Trainer Name 3
Performance-First Learning: A Day as an Instructional Designer,5,To a Very Large Extent,The course is short and informative and applicable enough for me to learn from,,,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,,,,,,,To a Very Large Extent,,To a Very Large Extent,To a Very Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Very Large Extent,To a Very Large Extent,Have more breaks,,,
Designing and Implementing Educational Escape Rooms,5,To a Very Large Extent,Engaging facilitator ,,,To a Very Large Extent,To a Very Large Extent,To a Large Extent,To a Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,,,To a Large Extent,,,To Some Extent,,To a Large Extent,To a Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Large Extent,To a Large Extent,,Eunice Lim Swee Suat,,
"Graduate Certificate in Designing Learning and Innovation - GCDLI (f2f, sync)",5,To a Very Large Extent,Learning is rich and deepening solid knowledge,,,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,,,,,,,To a Very Large Extent,,To a Very Large Extent,To a Very Large Extent,"If this course was not subsidised, I am still willing to attend and pay the full course fee.",To a Very Large Extent,To a Very Large Extent,,,,
Design for Impact with Technology: A Deep Dive into UDL,5,To a Very Large Extent,,,,To a Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,,,,,,,To a Large Extent,,To a Large Extent,To a Large Extent,"If this course was not subsidised, I am still willing to attend and pay the full course fee.",To a Large Extent,To a Large Extent,,,,
"Graduate Certificate in Leading Learning, Innovation and Change Across Boundaries - GCLBX (f2f, sync) AY2025",4,To a Large Extent,Deep learning in boundary crossing ,,,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Large Extent,,To a Very Large Extent,To a Very Large Extent,"If this course was not subsidised, I am still willing to attend and pay the full course fee.",To a Very Large Extent,To a Very Large Extent,,Lee Kang Yam,CHEN ZAN,PANG YEN-NING
Teaching with Impact: Aligning Adult Learning with Industry Transformation Roadmaps (ITRs),4,To a Large Extent,,,,To Some Extent,To Some Extent,To Some Extent,To Some Extent,To Some Extent,To Some Extent,,,,,,,To a Large Extent,,To Some Extent,To a Small Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To Some Extent,To Some Extent,,,,
Personal Mastery - Agility for Continuous Learning,2,To a Small Extent,,,,To Some Extent,To Some Extent,To Some Extent,To Some Extent,To Some Extent,To Some Extent,,,,,,,To Some Extent,,To Some Extent,To a Small Extent,"If this course was not subsidised, I am still willing to attend and pay the full course fee.",To Some Extent,To Some Extent,,,,
Using ChatGPT to Design Errors for Learning and Teaching (DELETE ™): Building Learner’s Capabilities in a GenAI world,5,To a Very Large Extent,,,,To a Large Extent,To a Very Large Extent,To a Very Large Extent,To a Large Extent,To a Large Extent,To a Very Large Extent,To a Very Large Extent,,,To a Very Large Extent,,,To a Very Large Extent,,To a Very Large Extent,To a Very Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Very Large Extent,To a Very Large Extent,,Choy Seng Kim,,
Thriving in the AI Age: Harnessing the Six Principles of Learning Design to Cultivate Future-Oriented Learning,3,To Some Extent,,,,To Some Extent,To Some Extent,To Some Extent,To Some Extent,To Some Extent,To Some Extent,To Some Extent,,,To Some Extent,,,To Some Extent,,To Some Extent,To a Small Extent,"If this course was not subsidised, I am still willing to attend and pay the full course fee.",To Some Extent,To Some Extent,,Helen Iris Bound,,
Creating Dynamic Online Courses: The Power of CoI and AI,5,To a Very Large Extent,A useful skill for AEs,,,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,,,,,,,To a Large Extent,,To a Very Large Extent,To a Very Large Extent,"If this course was not subsidised, I am still willing to attend and pay the full course fee.",To a Very Large Extent,To a Very Large Extent,,,,
