Course Title,Survey Score,Q1 - To what extent is the following statement true:  I would recommend others to attend [Course Title],Q2 - [Optional] That's great! What was the main reason you feel this way?,Q3 - [Optional] We're sorry to hear that. What was the main reason you feel this way?,Q4 - [Optional] What was the main reason you feel this way?,"Q5 - To what extent is the following statement true:  I am satisfied with the services offered by [Training Provider Name] (e.g., efficiency in handling registration matters, responsiveness in addressing learner queries etc.).",Q6 - To what extent is the following statement true:  The course content covered the knowledge/skills as outlined in the course synopsis.,Q7 - To what extent is the following statement true:  The course content is relevant to my work.,"Q8 - To what extent is the following statement true:  The course materials supported my learning (e.g., notes, references, presentation slides, etc.).","Q9 - To what extent is the following statement true:  The teaching methods used were innovative (e.g., teaching strategies and activities, technological tools, etc.).",Q10 - The teaching methods used were effective in helping me learn and acquire skills.,Q11_1 - To what extent is the following statement true about your instructor(s):  The instructor(s) demonstrated subject matter expertise (Trainer 1),Q11_2 - To what extent is the following statement true about your instructor(s):  The instructor(s) demonstrated subject matter expertise (Trainer 2),Q11_3 - To what extent is the following statement true about your instructor(s):  The instructor(s) demonstrated subject matter expertise (Trainer 3),Q12_1 - To what extent is the following statement true about your instructor(s):  The instructor(s) was/were engaging in the delivery of the course (Trainer 1),Q12_2 - To what extent is the following statement true about your instructor(s):  The instructor(s) was/were engaging in the delivery of the course (Trainer 2),Q12_3 - To what extent is the following statement true about your instructor(s):  The instructor(s) was/were engaging in the delivery of the course (Trainer 3),Q13 - To what extent is the following statement true:  The course duration was just right.,Q14 - I found the course duration ________.,Q15 - To what extent is the following statement true:  The course met my learning needs.,Q16 - To what extent is the following statement true:  The course provided good value-for-money.,Q17 - Are the following statements true to you (select all that apply)?:,Q25 - To what extent is the following statement true:  The course will help me progress in my work / career.,Q26 - To what extent is the following statement true:  The skills and knowledge acquired in the course will lead to improvements in my performance at work.,Q27 - [Optional] What is one thing we can do to improve future classes?,Trainer Name 1,Trainer Name 2,Trainer Name 3
Scenario-Based Learning in Action: Designing Workplace-Relevant Experiences,5,To a Very Large Extent,,,,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,,,To a Very Large Extent,,,To a Very Large Extent,,To a Very Large Extent,To a Very Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Very Large Extent,To a Very Large Extent,,Tjan Pin Ann Darren Francis,,
Scenario-Based Learning in Action: Designing Workplace-Relevant Experiences,5,To a Very Large Extent,IT A GREAT COURSE,,,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,,,To a Very Large Extent,,,To a Very Large Extent,,To a Very Large Extent,To a Very Large Extent,"If this course was not subsidised, I am still willing to attend and pay the full course fee.",To a Very Large Extent,To a Very Large Extent,,Tjan Pin Ann Darren Francis,,
Design for Impact with Technology: Strategic Use of Essential Frameworks,4,To a Large Extent,Great intro to the design frameworks to integrate tech tools,,,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Very Large Extent,,,To a Large Extent,,,To a Large Extent,,To a Large Extent,To a Very Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Large Extent,To a Large Extent,,Wee Irene,,
Design for Impact with Technology: Strategic Use of Essential Frameworks,4,To a Large Extent,,,,To a Very Large Extent,To a Large Extent,To Some Extent,To Some Extent,To a Large Extent,To a Large Extent,To a Large Extent,,,To a Large Extent,,,To a Large Extent,,To a Large Extent,"N/A, the course was sponsored by my employer",,To a Large Extent,To Some Extent,,Wee Irene,,
Design for Impact with Technology: Strategic Use of Essential Frameworks,5,To a Very Large Extent,,,,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,,,To a Very Large Extent,,,To a Very Large Extent,,To a Very Large Extent,To a Very Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Very Large Extent,To a Very Large Extent,,Wee Irene,,
Design for Impact with Technology: Strategic Use of Essential Frameworks,5,To a Very Large Extent,I learn new AI tools,,,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,,,To a Very Large Extent,,,To a Very Large Extent,,To a Very Large Extent,To a Very Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Very Large Extent,To a Very Large Extent,,Wee Irene,,
The Coaching Edge: Key Coaching Strategies for Management Success,5,To a Very Large Extent,,,,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,,,To a Very Large Extent,,,To a Very Large Extent,,To a Very Large Extent,To a Very Large Extent,"If this course was not subsidised, I am still willing to attend and pay the full course fee.",To a Very Large Extent,To a Very Large Extent,,Phua Ying Tse Louise,,
The Coaching Edge: Key Coaching Strategies for Management Success,5,To a Very Large Extent,,,,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,,,To a Very Large Extent,,,To a Very Large Extent,,To a Very Large Extent,To a Very Large Extent,"If this course was not subsidised, I am still willing to attend and pay the full course fee.",To a Very Large Extent,To a Very Large Extent,,Phua Ying Tse Louise,,
The Coaching Edge: Key Coaching Strategies for Management Success,5,To a Very Large Extent,,,,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,,,To a Very Large Extent,,,To a Large Extent,,To a Large Extent,To a Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Very Large Extent,To a Large Extent,,Phua Ying Tse Louise,,
The Coaching Edge: Key Coaching Strategies for Management Success,5,To a Very Large Extent,The facilitator is very captivating!,,,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,,,To a Very Large Extent,,,To Some Extent,,To a Very Large Extent,To a Large Extent,"If this course was not subsidised, I am still willing to attend and pay the full course fee.",To a Very Large Extent,To a Very Large Extent,,Phua Ying Tse Louise,,
Supercharge Your Learning Design with Generative AI! – A Hands-On Intermediate Workshop,3,To Some Extent,,,For an intermediate course I feel like it could cover more depth. But overall the instructor was engaging and did share some useful tools,To a Large Extent,To Some Extent,To a Small Extent,To a Small Extent,To Some Extent,To Some Extent,To a Large Extent,,,To a Large Extent,,,To Some Extent,,To a Small Extent,"N/A, the course was sponsored by my employer",,To a Small Extent,To a Small Extent,,Tjan Pin Ann Darren Francis,,
PBL Reimagined: Revolutionize Adult Learning with AI-Powered Problem-Based Learning,5,To a Very Large Extent,,,,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,,,To a Very Large Extent,,,To a Very Large Extent,,To a Very Large Extent,To a Very Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,Not at all,To a Very Large Extent,,Lim Li Yin,,
Small But Mighty: The Microlearning Course that Makes a Big Impact,5,To a Very Large Extent,,,,To a Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,,,To a Very Large Extent,,,To a Very Large Extent,,To a Very Large Extent,To a Very Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To Some Extent,To Some Extent,,Eunice Lim Swee Suat,,
PBL Reimagined: Revolutionize Adult Learning with AI-Powered Problem-Based Learning,3,To Some Extent,,,,To a Large Extent,To a Large Extent,To Some Extent,To a Large Extent,To a Large Extent,To Some Extent,,,,,,,To Some Extent,,To Some Extent,To Some Extent,"If this course was not subsidised, I am still willing to attend and pay the full course fee.",To Some Extent,To a Large Extent,,,,
"Graduate Certificate in Innovative Approaches to Adult Learning - GCIAL (f2f, sync) – AY2025",5,To a Very Large Extent,To prepare us to familiarise with the advancement of AI and technology ,,,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Very Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,,To a Large Extent,To a Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Large Extent,To a Large Extent,,Bi Xiaofang,Ho Yan Yin,"Chye Yen Leng, Stefanie"
Creating Dynamic Online Courses: The Power of CoI and AI,5,To a Very Large Extent,,,,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,,,To a Very Large Extent,,,To a Very Large Extent,,To a Very Large Extent,To a Very Large Extent,"If this course was not subsidised, I am still willing to attend and pay the full course fee.",To a Very Large Extent,To a Very Large Extent,,Eunice Lim Swee Suat,,
PBL for Learning Reimagined: The “What”,4,To a Large Extent,The concept learned,,,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,,,,,,,To a Large Extent,,To a Large Extent,To a Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Large Extent,To a Large Extent,Nil,,,
Designing and Implementing Educational Escape Rooms,4,To a Large Extent,,,,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,,,,,,,To a Large Extent,,To a Large Extent,To a Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Very Large Extent,To a Large Extent,,,,
AITP 2.0 Module 2: Assessing for Competency,4,To a Large Extent,To understand about the preparation and the process better,,,To a Large Extent,To a Large Extent,To a Very Large Extent,To a Very Large Extent,To a Large Extent,To a Very Large Extent,To a Very Large Extent,,,To a Very Large Extent,,,To a Very Large Extent,,To a Very Large Extent,"N/A, the course was sponsored by my employer",,To a Very Large Extent,To a Very Large Extent,nil,Lee Kang Yam,,
Designing and Implementing Educational Escape Rooms,4,To a Large Extent,Not everyone will like this,,,To a Large Extent,To a Very Large Extent,To a Large Extent,To a Large Extent,To a Very Large Extent,To a Large Extent,,,,,,,To a Large Extent,,To a Large Extent,To a Large Extent,"If this course was not subsidised, I am still willing to attend and pay the full course fee.",To a Large Extent,To a Large Extent,Good instructors and relevance,,,
Effective Presentation Skillsets at the Workplace,4,To a Large Extent,The training program is very detailed and well equipped,,,To a Large Extent,To a Large Extent,To a Very Large Extent,To a Large Extent,To a Large Extent,To a Very Large Extent,To a Very Large Extent,,,To a Very Large Extent,,,To a Very Large Extent,,To a Very Large Extent,To a Large Extent,"If this course was not subsidised, I am still willing to attend and pay the full course fee.",To a Large Extent,To a Large Extent,More engagement with the audience. Otherwise all is well done,Wee Irene,,
Empowering Assessment with AI and Technology,4,To a Large Extent,Meets my expectations ,,,To a Very Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,,,,,,,To a Large Extent,,To a Large Extent,To a Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To Some Extent,To Some Extent,,,,
Cultivating Adaptability Navigating Change,5,To a Very Large Extent,Interesting and engaging with up-to-date content,,,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,,,,,,,To a Very Large Extent,,To a Very Large Extent,To a Very Large Extent,"If this course was not subsidised, I am still willing to attend and pay the full course fee.",To a Very Large Extent,To a Very Large Extent,,,,
Creating Dynamic Online Courses: The Power of CoI and AI,4,To a Large Extent,,,,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,,,,,,,To a Large Extent,,To a Large Extent,To a Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Large Extent,To a Large Extent,,,,
Design Thinking Expresso,4,To a Large Extent,I gained knowledge in a comfortable pace,,,To a Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,,,,,,,To a Very Large Extent,,To a Very Large Extent,To a Very Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Very Large Extent,To a Very Large Extent,,,,
Creating Dynamic Online Courses: The Power of CoI and AI,5,To a Very Large Extent,,,,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,,,,,,,To a Very Large Extent,,To a Very Large Extent,To a Very Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Very Large Extent,To a Very Large Extent,,,,
Designing and Implementing Educational Escape Rooms,5,To a Very Large Extent,,,,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Large Extent,To a Very Large Extent,To a Large Extent,To a Very Large Extent,,,To a Very Large Extent,,,To a Very Large Extent,,To a Large Extent,To a Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Large Extent,To a Large Extent,,Eunice Lim Swee Suat,,
Facilitate with Flair: The Workshop Method Unleashed for Ultimate Impact,5,To a Very Large Extent,Is a beginning to help about Facilitation skills ,,,To a Large Extent,To a Very Large Extent,To a Very Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Very Large Extent,,,To a Very Large Extent,,,To a Large Extent,,To a Large Extent,To a Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Very Large Extent,To a Very Large Extent,More examples,Sim Lee Eng Serene,,
"Graduate Certificate in Designing Learning and Innovation - GCDLI (f2f, sync)",5,To a Very Large Extent,Supporting Development is a big part in the organisation. ,,,To Some Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,,,,,,,To a Large Extent,,To a Large Extent,To a Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Large Extent,To a Large Extent,,,,
Personal Mastery - Self-Management for Holistic Well Being,5,To a Very Large Extent,,,,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,,,,,,,To a Very Large Extent,,To a Very Large Extent,To a Very Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Very Large Extent,To a Very Large Extent,,,,
Designing and Implementing Educational Escape Rooms,5,To a Very Large Extent,,,,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,,,To a Very Large Extent,,,To a Very Large Extent,,To a Very Large Extent,To a Very Large Extent,"If this course was not subsidised, I am still willing to attend and pay the full course fee.",To a Very Large Extent,To a Very Large Extent,,Eunice Lim Swee Suat,,
Teaching with Impact: Aligning Adult Learning with Industry Transformation Roadmaps (ITRs),3,To Some Extent,,,,To a Large Extent,To Some Extent,To Some Extent,To Some Extent,To Some Extent,To Some Extent,,,,,,,To Some Extent,,To a Small Extent,To Some Extent,"If this course was not subsidised, I am still willing to attend and pay the full course fee.",To Some Extent,To Some Extent,Less is more. Clearer instructions and case studies,,,
Performance-First Learning: A Day as an Instructional Designer,4,To a Large Extent,Gives a structured approach towards course design for effective learning ,,,To a Large Extent,To a Large Extent,To a Very Large Extent,To a Very Large Extent,To a Large Extent,To a Large Extent,To a Very Large Extent,,,To a Very Large Extent,,,To a Large Extent,,To a Large Extent,To a Large Extent,"If this course was not subsidised, I am still willing to attend and pay the full course fee.",To a Large Extent,To a Large Extent,,Lee Kang Yam,,
Supercharge Your Learning Design with Generative AI! – A Hands-On Intermediate Workshop,4,To a Large Extent,Stay up to date for using Gen Ai tool,,,To a Large Extent,To a Large Extent,To a Very Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Very Large Extent,,,To a Large Extent,,,To a Large Extent,,To a Large Extent,To a Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Very Large Extent,To a Large Extent,,Tjan Pin Ann Darren Francis,,
"Graduate Certificate in Designing Learning and Innovation - GCDLI (f2f, sync)",5,To a Very Large Extent,Mentorship provided in the programme is valuable,,,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,,,,,,,To a Large Extent,,To a Very Large Extent,To a Very Large Extent,"If this course was not subsidised, I am still willing to attend and pay the full course fee.",To a Very Large Extent,To a Very Large Extent,,,,
Learning That Works: Designing Evidence-Based Training for Real Workplace Impact,5,To a Very Large Extent,Great,,,To a Large Extent,To a Very Large Extent,To a Large Extent,To a Very Large Extent,To a Large Extent,To a Large Extent,,,,,,,To a Large Extent,,To a Large Extent,To a Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Large Extent,To a Large Extent,Nil,,,
"Graduate Certificate in Implementing and Evaluating Innovation, Change and Learning - GCIEX (f2f, sync) AY2025",5,To a Very Large Extent,"Application based, adult learning approach ",,,To a Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,,To a Very Large Extent,To a Very Large Extent,,To a Very Large Extent,,To a Very Large Extent,To a Very Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Very Large Extent,To a Very Large Extent,,Hua Shu Cheng Allen,TAN HUI LING RENEE,
The Future of Adult Education: Generative AI-Enhanced Case-Based Learning,4,To a Large Extent,,,,To Some Extent,To a Very Large Extent,To Some Extent,To a Large Extent,To a Very Large Extent,To a Very Large Extent,,,,,,,To a Very Large Extent,,To Some Extent,To a Very Large Extent,"If this course was not subsidised, I am still willing to attend and pay the full course fee.",To Some Extent,To Some Extent,,,,
AITP 2.0 Module 2: Assessing for Competency,4,To a Large Extent,,,,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To Some Extent,To a Large Extent,To a Large Extent,,,To a Large Extent,,,To a Large Extent,,To a Large Extent,To a Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Large Extent,To a Large Extent,,Lee Kang Yam,,
Effective Presentation Skillsets at the Workplace,4,To a Large Extent,Insightful ,,,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,,,To a Very Large Extent,,,To a Very Large Extent,,To a Very Large Extent,To a Very Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Very Large Extent,To a Very Large Extent,NA,Wee Irene,,
Personal Mastery - Agility for Continuous Learning,4,To a Large Extent,,,,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,,,,,,,To a Large Extent,,To a Large Extent,To a Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Large Extent,To a Large Extent,,,,
Small But Mighty: The Microlearning Course that Makes a Big Impact,4,To a Large Extent,,,,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Very Large Extent,To a Very Large Extent,,,To a Very Large Extent,,,To a Large Extent,,To a Large Extent,To Some Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To Some Extent,To Some Extent,,Eunice Lim Swee Suat,,
Personal Mastery - Agility for Continuous Learning,3,To Some Extent,,,,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,,,,,,,To a Large Extent,,To a Large Extent,To a Large Extent,"If this course was not subsidised, I am still willing to attend and pay the full course fee.",To a Large Extent,To a Large Extent,,,,
Agility in Action: Embedding Learning in the Flow of Work for Performance at Speed,4,To a Large Extent,NA,,,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,,,To a Large Extent,,,To a Large Extent,,To a Large Extent,To a Large Extent,"If this course was not subsidised, I am still willing to attend and pay the full course fee.",To a Large Extent,To a Large Extent,NA,Phua Ying Tse Louise,,
Learning That Works: Designing Evidence-Based Training for Real Workplace Impact,5,To a Very Large Extent,"this is a compact course BUT very effective, it is easy and simple to understand",,,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,,,To a Very Large Extent,,,To a Very Large Extent,,To a Very Large Extent,To a Very Large Extent,"If this course was not subsidised, I am still willing to attend and pay the full course fee.",To a Very Large Extent,To a Very Large Extent,,Sim Lee Eng Serene,,
Scenario-Based Learning in Action: Designing Workplace-Relevant Experiences,3,To Some Extent,,,,To a Small Extent,To Some Extent,To a Large Extent,To a Large Extent,To Some Extent,To Some Extent,To a Large Extent,,,To a Large Extent,,,To a Small Extent,,To Some Extent,"N/A, the course was sponsored by my employer",,Not at all,To a Large Extent,Longer duration,Tjan Pin Ann Darren Francis,,
Scenario-Based Learning in Action: Designing Workplace-Relevant Experiences,4,To a Large Extent,,,,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Very Large Extent,,,To a Large Extent,,,To a Large Extent,,To a Very Large Extent,To a Large Extent,"If this course was not subsidised, I am still willing to attend and pay the full course fee.",To a Large Extent,To a Large Extent,,Tjan Pin Ann Darren Francis,,
Scenario-Based Learning in Action: Designing Workplace-Relevant Experiences,4,To a Large Extent,,,,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,,,To a Large Extent,,,To a Large Extent,,To a Large Extent,To a Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Large Extent,To Some Extent,,Tjan Pin Ann Darren Francis,,
Designing and Implementing Educational Escape Rooms,5,To a Very Large Extent,Able to participate in tasks which I have not imagined myself to be in ,,,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,,,To a Very Large Extent,,,To a Very Large Extent,,To a Very Large Extent,To a Very Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Large Extent,To a Large Extent,Nothing ,Eunice Lim Swee Suat,,
Learning That Works: Designing Evidence-Based Training for Real Workplace Impact,5,To a Very Large Extent,Wow a lot of learning.,,,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,,,,,,,To a Very Large Extent,,To a Very Large Extent,To a Very Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Very Large Extent,To a Very Large Extent,,,,
"Graduate Certificate in Implementing and Evaluating Innovation, Change and Learning - GCIEX (f2f, sync) AY2025",5,To a Very Large Extent,Dr Allen is good,,,To Some Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,,To a Very Large Extent,To a Very Large Extent,,To a Very Large Extent,,To a Very Large Extent,To a Very Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Very Large Extent,To a Very Large Extent,,Hua Shu Cheng Allen,TAN HUI LING RENEE,
Performance-First Learning: A Day as an Instructional Designer with Handshaw's Model,3,To Some Extent,,,,To Some Extent,To Some Extent,To Some Extent,To a Large Extent,To a Large Extent,To Some Extent,,,,,,,To a Very Large Extent,,To a Large Extent,To Some Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Small Extent,To Some Extent,,,,
Coaching as a Way of Work: Embedding Solution-Focused Dialogue into Everyday Conversation,3,To Some Extent,,,,To a Small Extent,To a Large Extent,To a Large Extent,To a Small Extent,To Some Extent,To a Small Extent,,,,,,,To a Small Extent,,To Some Extent,To a Small Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,Not at all,To Some Extent,,,,
Agility in Action: Embedding Learning in the Flow of Work for Performance at Speed,5,To a Very Large Extent,,,,To a Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,,,,,,,To a Large Extent,,To a Very Large Extent,To a Very Large Extent,"If this course was not subsidised, I am still willing to attend and pay the full course fee.",To a Very Large Extent,To a Very Large Extent,,,,
Facilitation Mastery: Unleashing the Power of Participation Through the Focused Conversation Technique,4,To a Large Extent,Learnt something new about asking the right type of questions ,,,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To Some Extent,To a Large Extent,,,,,,,To a Large Extent,,To a Very Large Extent,To a Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Very Large Extent,To a Very Large Extent,,,,
Designing and Implementing Educational Escape Rooms,4,To a Large Extent,,,,To a Very Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Very Large Extent,To a Large Extent,To a Very Large Extent,,,To a Large Extent,,,To Some Extent,,To a Large Extent,To Some Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To Some Extent,To Some Extent,,Eunice Lim Swee Suat,,
Coaching as a Way of Work: Embedding Solution-Focused Dialogue into Everyday Conversation,3,To Some Extent,,,This is an intermediate course. May have to start from beginner to get an understanding,To Some Extent,To a Large Extent,To Some Extent,To a Large Extent,To Some Extent,To Some Extent,To a Large Extent,,,To a Large Extent,,,To a Small Extent,,To Some Extent,To Some Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To Some Extent,To Some Extent,May need to lengthen the course duration. Pace was too fast.,Phua Ying Tse Louise,,
"Graduate Certificate in Implementing and Evaluating Innovation, Change and Learning - GCIEX (f2f, sync)",5,To a Very Large Extent,The instructor is very energetic and passionate,,,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,,,,,,,To a Very Large Extent,,To a Very Large Extent,To a Very Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Very Large Extent,To a Very Large Extent,,,,
Using ChatGPT to Design Errors for Learning and Teaching (DELETE ™): Building Learner’s Capabilities in a GenAI world,5,To a Very Large Extent,,,,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,,,,,,,To Some Extent,,To a Very Large Extent,To a Very Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Large Extent,To a Large Extent,,,,
The Fundamentals of Coaching in the Workplace,4,To a Large Extent,,,,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Very Large Extent,,,To a Very Large Extent,,,To a Very Large Extent,,To a Very Large Extent,To a Very Large Extent,,To a Very Large Extent,To a Large Extent,,NG BOON ENG,,
Learning That Works: The 6Ds Framework for Business-Aligned Training Design,5,To a Very Large Extent,Very relevant for AE role,,,To a Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,,,To a Very Large Extent,,,To a Very Large Extent,,To a Very Large Extent,To a Very Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Very Large Extent,To a Very Large Extent,,Sim Lee Eng Serene,,
Creating Dynamic Online Courses: The Power of CoI and AI,5,To a Very Large Extent,,,,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,,,,,,,To a Very Large Extent,,To a Very Large Extent,To a Very Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Large Extent,To a Very Large Extent,,,,
Learning That Works: Designing Evidence-Based Training for Real Workplace Impact,4,To a Large Extent,,,,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Very Large Extent,,,,,,,To a Large Extent,,To a Large Extent,To a Large Extent,"If this course was not subsidised, I am still willing to attend and pay the full course fee.",To a Large Extent,To a Large Extent,,,,
